date,symbol,open,high,low,close,Volume BTC,Volume EUR
2024/1/11 0:00,BTC/EUR,42849.17,44499.68,41796.32,42353.58,8.35123677,353704.7746
2024/1/10 0:00,BTC/EUR,41956.8,43490,40692.97,42849.17,4.41928021,189362.489
2024/1/9 0:00,BTC/EUR,43056.68,45000,41001,41956.8,1.57604106,66125.63955
2024/1/8 0:00,BTC/EUR,40134.24,43078.66,39531.07,43056.68,1.91408517,82414.15266
2024/1/7 0:00,BTC/EUR,40079.99,40994.99,39771.03,40134.24,0.73589235,29534.48019
2024/1/6 0:00,BTC/EUR,40356.27,40434.14,39927.79,40079.99,0.11395107,4567.157746
2024/1/5 0:00,BTC/EUR,40409.83,40553.68,38900,40356.27,3.27764284,132273.4394
2024/1/4 0:00,BTC/EUR,39231.01,40702.38,39139.19,40409.83,2.00906196,81185.85226
2024/1/3 0:00,BTC/EUR,41108.63,42100.12,37000,39231.01,6.71891878,263589.9698
2024/1/2 0:00,BTC/EUR,40000,41962,40000,41108.63,1.45441717,59789.09731
2024/1/1 0:00,BTC/EUR,38375.2,40000,38375.2,40000,1.02649548,41059.8192
2023/12/31 0:00,BTC/EUR,38344.54,39851.15,38293.53,38375.2,0.27316486,10482.75614
2023/12/30 0:00,BTC/EUR,38373.87,38642.87,37799.18,38344.54,1.28184005,49151.56707
2023/12/29 0:00,BTC/EUR,38580.51,39850.3,37927.98,38373.87,2.18557699,83869.04729
2023/12/28 0:00,BTC/EUR,39102.04,39434.93,38298.25,38580.51,1.73401254,66899.08814
2023/12/27 0:00,BTC/EUR,38528.36,39171.43,38461.94,39102.04,2.17158583,84913.43599
2023/12/26 0:00,BTC/EUR,39851.14,39851.14,38003.87,38528.36,0.42387678,16331.27718
2023/12/25 0:00,BTC/EUR,39000,40690.19,39000,39851.14,0.14154623,5640.778628
2023/12/24 0:00,BTC/EUR,39776.31,40690.14,39000,39000,1.01158571,39451.84269
2023/12/23 0:00,BTC/EUR,39736.76,39977.74,39376.69,39776.31,0.18405008,7320.833038
